iter	MultiClass
0	1.060961889
1	1.030760248
2	1.005574595
3	0.9830033869
4	0.9630590024
5	0.9456629049
6	0.9319718487
7	0.9167690732
8	0.9021671574
9	0.8899607481
10	0.8779960052
11	0.8675931761
12	0.8580916624
13	0.8488662889
14	0.8407047108
15	0.8328482401
16	0.825079123
17	0.8175901579
18	0.8111183809
19	0.8051239693
20	0.7979589192
21	0.7902355129
22	0.7842894764
23	0.7792033755
24	0.7743547526
25	0.7686068629
26	0.7629235111
27	0.758194499
28	0.7537070281
29	0.7491100049
30	0.7453176354
31	0.7424514415
32	0.7393601906
33	0.7348550509
34	0.7308652413
35	0.7272518955
36	0.724854511
37	0.7211676479
38	0.7194738341
39	0.7176485748
40	0.7127566819
41	0.7110596939
42	0.7090859609
43	0.7065137478
44	0.7045385312
45	0.7004632949
46	0.6979745242
47	0.6954890141
48	0.6932114325
49	0.6902368618
50	0.6874120677
51	0.6854379905
52	0.6830303663
53	0.6800379468
54	0.678745354
55	0.6750626467
56	0.6730347995
57	0.6707212978
58	0.6680122294
59	0.6657935505
60	0.664096358
61	0.6623898175
62	0.6597608268
63	0.6581055696
64	0.6556317285
65	0.653835659
66	0.6520743678
67	0.6499924027
68	0.647876579
69	0.6453882447
70	0.6434871857
71	0.6418528324
72	0.6407137139
73	0.6390577396
74	0.6367971706
75	0.6357188981
76	0.6333996839
77	0.6321084129
78	0.6297808472
79	0.6278767001
80	0.6255522532
81	0.6228861472
82	0.6215221447
83	0.6207378676
84	0.6193890828
85	0.6178882026
86	0.6162360976
87	0.6142153107
88	0.611283411
89	0.6091503153
90	0.6073049012
91	0.6058851701
92	0.6047929918
93	0.6026572038
94	0.6010314125
95	0.5994815116
96	0.5985445102
97	0.596686824
98	0.5958662544
99	0.5943731727
100	0.5929610832
101	0.5918051987
102	0.5901151678
103	0.5895897365
104	0.5886613502
105	0.5871182009
106	0.5856135115
107	0.5843363607
108	0.5823291983
109	0.580934972
110	0.5791830795
111	0.5774292266
112	0.5764594717
113	0.5753066158
114	0.5741298753
115	0.5729712042
116	0.5717058412
117	0.5701365381
118	0.5688202808
119	0.5675286312
120	0.5666181642
121	0.5652373335
122	0.56387944
123	0.5630383665
124	0.5620916427
125	0.5613197674
126	0.5596249699
127	0.5590381427
128	0.558026433
129	0.5564097306
130	0.5553097998
131	0.5540010008
132	0.5531097678
133	0.5518411958
134	0.5509751797
135	0.5496428608
136	0.5485646279
137	0.547592464
138	0.5459122438
139	0.5445348709
140	0.5427317738
141	0.5420409026
142	0.5398813236
143	0.538637207
144	0.5375962503
145	0.537089545
146	0.5359116754
147	0.5352913779
148	0.534207371
149	0.5330517942
150	0.5321703964
151	0.5309629848
152	0.5298206714
153	0.5276177062
154	0.5252664003
155	0.5248482598
156	0.5237656635
157	0.5225303498
158	0.521557088
159	0.5186616981
160	0.5177834689
161	0.517026662
162	0.515993535
163	0.5153260778
164	0.5145362981
165	0.5139785274
166	0.5131364976
167	0.5115906563
168	0.5105487545
169	0.5095486476
170	0.5083835803
171	0.5075295387
172	0.5069498863
173	0.5049536529
174	0.5037182978
175	0.5028101616
176	0.5019588966
177	0.5005740823
178	0.4986419727
179	0.4977097039
180	0.4971326628
181	0.4959125236
182	0.4949157381
183	0.4941646825
184	0.4936326428
185	0.4921084851
186	0.4904492185
187	0.4895758131
188	0.4887559238
189	0.4877247721
190	0.487164904
191	0.48611055
192	0.4851817153
193	0.4842063194
